BSSID,RSSI
3C:51:0E:13:FD:86,-77.23076923076923
3C:51:0E:2E:05:E6,-79.08333333333333
6C:31:0E:BA:0A:A6,-69.53846153846153
6C:31:0E:E1:0F:66,-83.22222222222223
6C:31:0E:F3:55:E6,-57.84615384615385
