BSSID,RSSI
3C:51:0E:13:FD:86,-61.214285714285715
6C:31:0E:BA:0A:A6,-61.5
6C:31:0E:BA:11:86,-87.0
6C:31:0E:E1:0F:66,-79.58333333333333
6C:31:0E:F3:55:E6,-63.142857142857146
