BSSID,RSSI
3C:51:0E:13:FD:86,-71.20689655172414
3C:51:0E:2E:05:E6,-86.66666666666667
6C:31:0E:BA:0A:A6,-71.50574712643679
6C:31:0E:E1:0F:66,-83.75
6C:31:0E:F3:55:E6,-49.92045454545455
