time,SSID,RSSI,BSSID
12:19:03,'AAU', '-50', '6C:31:0E:BA:0A:A6'
12:19:03,'AAU', '-56', '6C:31:0E:F3:55:E6'
12:19:03,'AAU', '-61', '3C:51:0E:13:FD:86'
12:19:03,'AAU', '-77', '6C:31:0E:E1:0F:66'
12:19:03,'AAU', '-84', '3C:51:0E:09:3E:E6'
12:19:03,'AAU', '-89', '6C:31:0E:BA:11:86'
12:19:09,'AAU', '-58', '6C:31:0E:F3:55:E6'
12:19:09,'AAU', '-61', '6C:31:0E:BA:0A:A6'
12:19:09,'AAU', '-62', '3C:51:0E:13:FD:86'
12:19:09,'AAU', '-71', '6C:31:0E:E1:0F:66'
12:19:09,'AAU', '-84', '6C:31:0E:BA:11:86'
12:19:16,'AAU', '-55', '6C:31:0E:BA:0A:A6'
12:19:16,'AAU', '-59', '6C:31:0E:F3:55:E6'
12:19:16,'AAU', '-62', '3C:51:0E:13:FD:86'
12:19:16,'AAU', '-73', '6C:31:0E:E1:0F:66'
12:19:16,'AAU', '-87', '3C:51:0E:09:3E:E6'
12:19:24,'AAU', '-54', '6C:31:0E:BA:0A:A6'
12:19:24,'AAU', '-55', '6C:31:0E:F3:55:E6'
12:19:24,'AAU', '-62', '3C:51:0E:13:FD:86'
12:19:24,'AAU', '-75', '6C:31:0E:E1:0F:66'
12:19:24,'AAU', '-84', '6C:31:0E:BA:11:86'
12:19:24,'AAU', '-87', '3C:51:0E:09:3E:E6'
12:19:31,'AAU', '-57', '6C:31:0E:BA:0A:A6'
12:19:31,'AAU', '-58', '6C:31:0E:F3:55:E6'
12:19:31,'AAU', '-62', '3C:51:0E:13:FD:86'
12:19:31,'AAU', '-75', '6C:31:0E:E1:0F:66'
12:19:31,'AAU', '-87', '3C:51:0E:09:3E:E6'
12:19:38,'AAU', '-57', '6C:31:0E:BA:0A:A6'
12:19:38,'AAU', '-59', '6C:31:0E:F3:55:E6'
12:19:38,'AAU', '-62', '3C:51:0E:13:FD:86'
12:19:38,'AAU', '-74', '6C:31:0E:E1:0F:66'
12:19:38,'AAU', '-86', '6C:31:0E:BA:11:86'
12:19:38,'AAU', '-87', '3C:51:0E:09:3E:E6'
12:19:45,'AAU', '-58', '6C:31:0E:F3:55:E6'
12:19:45,'AAU', '-60', '6C:31:0E:BA:0A:A6'
12:19:45,'AAU', '-65', '3C:51:0E:13:FD:86'
12:19:45,'AAU', '-70', '6C:31:0E:E1:0F:66'
12:19:45,'AAU', '-85', '6C:31:0E:BA:11:86'
12:19:45,'AAU', '-89', '3C:51:0E:09:3E:E6'
12:19:52,'AAU', '-56', '6C:31:0E:BA:0A:A6'
12:19:52,'AAU', '-59', '6C:31:0E:F3:55:E6'
12:19:52,'AAU', '-65', '3C:51:0E:13:FD:86'
12:19:52,'AAU', '-71', '6C:31:0E:E1:0F:66'
12:19:52,'AAU', '-83', '6C:31:0E:BA:11:86'
12:19:59,'AAU', '-54', '6C:31:0E:F3:55:E6'
12:19:59,'AAU', '-58', '6C:31:0E:BA:0A:A6'
12:19:59,'AAU', '-61', '3C:51:0E:13:FD:86'
12:19:59,'AAU', '-73', '6C:31:0E:E1:0F:66'
12:19:59,'AAU', '-89', '6C:31:0E:BA:11:86'
12:20:06,'AAU', '-58', '6C:31:0E:F3:55:E6'
12:20:06,'AAU', '-59', '6C:31:0E:BA:0A:A6'
12:20:06,'AAU', '-69', '6C:31:0E:E1:0F:66'
12:20:06,'AAU', '-71', '3C:51:0E:13:FD:86'
12:20:06,'AAU', '-87', '6C:31:0E:BA:11:86'
12:20:13,'AAU', '-56', '6C:31:0E:F3:55:E6'
12:20:13,'AAU', '-60', '6C:31:0E:BA:0A:A6'
12:20:13,'AAU', '-68', '3C:51:0E:13:FD:86'
12:20:13,'AAU', '-71', '6C:31:0E:E1:0F:66'
12:20:13,'AAU', '-81', '6C:31:0E:BA:11:86'
12:20:20,'AAU', '-51', '6C:31:0E:BA:0A:A6'
12:20:20,'AAU', '-61', '6C:31:0E:F3:55:E6'
12:20:20,'AAU', '-68', '3C:51:0E:13:FD:86'
12:20:20,'AAU', '-76', '6C:31:0E:E1:0F:66'
12:20:20,'AAU', '-83', '6C:31:0E:BA:11:86'
12:20:20,'AAU', '-83', '3C:51:0E:09:3E:E6'
12:20:27,'AAU', '-56', '6C:31:0E:BA:0A:A6'
12:20:27,'AAU', '-59', '6C:31:0E:F3:55:E6'
12:20:27,'AAU', '-68', '6C:31:0E:E1:0F:66'
12:20:27,'AAU', '-68', '3C:51:0E:13:FD:86'
