time,SSID,RSSI,BSSID
10:23:22,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:23:22,'AAU', '-70', '3C:51:0E:13:FD:86'
10:23:22,'AAU', '-76', '6C:31:0E:BA:0A:A6'
10:23:29,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:23:29,'AAU', '-69', '3C:51:0E:13:FD:86'
10:23:29,'AAU', '-79', '6C:31:0E:BA:0A:A6'
10:23:35,'AAU', '-55', '6C:31:0E:F3:55:E6'
10:23:35,'AAU', '-70', '3C:51:0E:13:FD:86'
10:23:35,'AAU', '-78', '6C:31:0E:BA:0A:A6'
10:23:42,'AAU', '-53', '6C:31:0E:F3:55:E6'
10:23:42,'AAU', '-71', '3C:51:0E:13:FD:86'
10:23:42,'AAU', '-78', '6C:31:0E:BA:0A:A6'
10:23:49,'AAU', '-55', '6C:31:0E:F3:55:E6'
10:23:49,'AAU', '-71', '3C:51:0E:13:FD:86'
10:23:49,'AAU', '-76', '6C:31:0E:BA:0A:A6'
10:23:55,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:23:55,'AAU', '-72', '3C:51:0E:13:FD:86'
10:23:55,'AAU', '-75', '6C:31:0E:BA:0A:A6'
10:24:02,'AAU', '-55', '6C:31:0E:F3:55:E6'
10:24:02,'AAU', '-71', '3C:51:0E:13:FD:86'
10:24:02,'AAU', '-76', '6C:31:0E:BA:0A:A6'
10:24:09,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:24:09,'AAU', '-71', '3C:51:0E:13:FD:86'
10:24:09,'AAU', '-77', '6C:31:0E:BA:0A:A6'
10:24:16,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:24:16,'AAU', '-72', '3C:51:0E:13:FD:86'
10:24:16,'AAU', '-78', '6C:31:0E:BA:0A:A6'
10:24:22,'AAU', '-53', '6C:31:0E:F3:55:E6'
10:24:22,'AAU', '-71', '3C:51:0E:13:FD:86'
10:24:22,'AAU', '-77', '6C:31:0E:BA:0A:A6'
10:24:29,'AAU', '-55', '6C:31:0E:F3:55:E6'
10:24:29,'AAU', '-72', '3C:51:0E:13:FD:86'
10:24:29,'AAU', '-78', '6C:31:0E:BA:0A:A6'
10:24:36,'AAU', '-55', '6C:31:0E:F3:55:E6'
10:24:36,'AAU', '-72', '3C:51:0E:13:FD:86'
10:24:36,'AAU', '-77', '6C:31:0E:BA:0A:A6'
10:24:42,'AAU', '-55', '6C:31:0E:F3:55:E6'
10:24:42,'AAU', '-71', '3C:51:0E:13:FD:86'
10:24:42,'AAU', '-76', '6C:31:0E:BA:0A:A6'
10:24:49,'AAU', '-58', '6C:31:0E:F3:55:E6'
10:24:49,'AAU', '-71', '3C:51:0E:13:FD:86'
10:24:49,'AAU', '-75', '6C:31:0E:BA:0A:A6'
10:24:56,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:24:56,'AAU', '-71', '3C:51:0E:13:FD:86'
10:24:56,'AAU', '-75', '6C:31:0E:BA:0A:A6'
10:25:03,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:25:03,'AAU', '-71', '3C:51:0E:13:FD:86'
10:25:03,'AAU', '-77', '6C:31:0E:BA:0A:A6'
10:25:10,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:25:10,'AAU', '-70', '3C:51:0E:13:FD:86'
10:25:10,'AAU', '-75', '6C:31:0E:BA:0A:A6'
10:25:16,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:25:16,'AAU', '-70', '3C:51:0E:13:FD:86'
10:25:16,'AAU', '-74', '6C:31:0E:BA:0A:A6'
10:25:23,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:25:23,'AAU', '-71', '3C:51:0E:13:FD:86'
10:25:23,'AAU', '-76', '6C:31:0E:BA:0A:A6'
10:25:30,'AAU', '-55', '6C:31:0E:F3:55:E6'
10:25:30,'AAU', '-71', '3C:51:0E:13:FD:86'
10:25:30,'AAU', '-76', '6C:31:0E:BA:0A:A6'
10:25:36,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:25:36,'AAU', '-71', '3C:51:0E:13:FD:86'
10:25:36,'AAU', '-76', '6C:31:0E:BA:0A:A6'
10:25:43,'AAU', '-53', '6C:31:0E:F3:55:E6'
10:25:43,'AAU', '-71', '3C:51:0E:13:FD:86'
10:25:43,'AAU', '-76', '6C:31:0E:BA:0A:A6'
10:25:50,'AAU', '-53', '6C:31:0E:F3:55:E6'
10:25:50,'AAU', '-71', '3C:51:0E:13:FD:86'
10:25:50,'AAU', '-75', '6C:31:0E:BA:0A:A6'
10:25:57,'AAU', '-55', '6C:31:0E:F3:55:E6'
10:25:57,'AAU', '-71', '3C:51:0E:13:FD:86'
10:25:57,'AAU', '-77', '6C:31:0E:BA:0A:A6'
10:26:04,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:26:04,'AAU', '-72', '3C:51:0E:13:FD:86'
10:26:04,'AAU', '-76', '6C:31:0E:BA:0A:A6'
10:26:10,'AAU', '-55', '6C:31:0E:F3:55:E6'
10:26:10,'AAU', '-72', '3C:51:0E:13:FD:86'
10:26:10,'AAU', '-78', '6C:31:0E:BA:0A:A6'
10:26:17,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:26:17,'AAU', '-73', '3C:51:0E:13:FD:86'
10:26:17,'AAU', '-78', '6C:31:0E:BA:0A:A6'
10:26:24,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:26:24,'AAU', '-71', '3C:51:0E:13:FD:86'
10:26:24,'AAU', '-78', '6C:31:0E:BA:0A:A6'
10:26:31,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:26:31,'AAU', '-71', '3C:51:0E:13:FD:86'
10:26:31,'AAU', '-77', '6C:31:0E:BA:0A:A6'
10:26:38,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:26:38,'AAU', '-70', '3C:51:0E:13:FD:86'
10:26:38,'AAU', '-77', '6C:31:0E:BA:0A:A6'
10:26:45,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:26:45,'AAU', '-71', '3C:51:0E:13:FD:86'
10:26:45,'AAU', '-77', '6C:31:0E:BA:0A:A6'
10:26:52,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:26:52,'AAU', '-71', '3C:51:0E:13:FD:86'
10:26:52,'AAU', '-77', '6C:31:0E:BA:0A:A6'
10:26:59,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:26:59,'AAU', '-72', '3C:51:0E:13:FD:86'
10:26:59,'AAU', '-77', '6C:31:0E:BA:0A:A6'
10:27:05,'AAU', '-55', '6C:31:0E:F3:55:E6'
10:27:05,'AAU', '-70', '3C:51:0E:13:FD:86'
10:27:05,'AAU', '-77', '6C:31:0E:BA:0A:A6'
10:27:12,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:27:12,'AAU', '-70', '3C:51:0E:13:FD:86'
10:27:12,'AAU', '-79', '6C:31:0E:BA:0A:A6'
10:27:19,'AAU', '-54', '6C:31:0E:F3:55:E6'
