time,SSID,RSSI,BSSID
10:54:24,'AAU', '-55', '6C:31:0E:F3:55:E6'
10:54:24,'AAU', '-60', '3C:51:0E:13:FD:86'
10:54:24,'AAU', '-62', '6C:31:0E:BA:0A:A6'
10:54:24,'AAU', '-78', '6C:31:0E:E1:0F:66'
10:54:31,'AAU', '-56', '6C:31:0E:F3:55:E6'
10:54:31,'AAU', '-58', '3C:51:0E:13:FD:86'
10:54:31,'AAU', '-60', '6C:31:0E:BA:0A:A6'
10:54:31,'AAU', '-79', '6C:31:0E:E1:0F:66'
10:54:38,'AAU', '-57', '6C:31:0E:F3:55:E6'
10:54:38,'AAU', '-58', '6C:31:0E:BA:0A:A6'
10:54:38,'AAU', '-58', '3C:51:0E:13:FD:86'
10:54:38,'AAU', '-76', '6C:31:0E:E1:0F:66'
10:54:45,'AAU', '-57', '6C:31:0E:F3:55:E6'
10:54:45,'AAU', '-58', '3C:51:0E:13:FD:86'
10:54:45,'AAU', '-59', '6C:31:0E:BA:0A:A6'
10:54:45,'AAU', '-77', '6C:31:0E:E1:0F:66'
10:54:51,'AAU', '-57', '6C:31:0E:F3:55:E6'
10:54:51,'AAU', '-58', '6C:31:0E:BA:0A:A6'
10:54:51,'AAU', '-58', '3C:51:0E:13:FD:86'
10:54:51,'AAU', '-77', '6C:31:0E:E1:0F:66'
10:54:58,'AAU', '-56', '6C:31:0E:F3:55:E6'
10:54:58,'AAU', '-58', '3C:51:0E:13:FD:86'
10:54:58,'AAU', '-59', '6C:31:0E:BA:0A:A6'
10:54:58,'AAU', '-80', '6C:31:0E:E1:0F:66'
10:55:05,'AAU', '-57', '3C:51:0E:13:FD:86'
10:55:05,'AAU', '-60', '6C:31:0E:F3:55:E6'
10:55:05,'AAU', '-61', '6C:31:0E:BA:0A:A6'
10:55:05,'AAU', '-78', '6C:31:0E:E1:0F:66'
10:55:12,'AAU', '-56', '6C:31:0E:F3:55:E6'
10:55:12,'AAU', '-58', '3C:51:0E:13:FD:86'
10:55:12,'AAU', '-59', '6C:31:0E:BA:0A:A6'
10:55:12,'AAU', '-77', '6C:31:0E:E1:0F:66'
10:55:19,'AAU', '-56', '6C:31:0E:F3:55:E6'
10:55:19,'AAU', '-58', '3C:51:0E:13:FD:86'
10:55:19,'AAU', '-59', '6C:31:0E:BA:0A:A6'
10:55:19,'AAU', '-77', '6C:31:0E:E1:0F:66'
10:55:26,'AAU', '-56', '6C:31:0E:F3:55:E6'
10:55:26,'AAU', '-57', '3C:51:0E:13:FD:86'
10:55:26,'AAU', '-60', '6C:31:0E:BA:0A:A6'
10:55:26,'AAU', '-75', '6C:31:0E:E1:0F:66'
10:55:33,'AAU', '-57', '3C:51:0E:13:FD:86'
10:55:33,'AAU', '-57', '6C:31:0E:F3:55:E6'
10:55:33,'AAU', '-59', '6C:31:0E:BA:0A:A6'
10:55:33,'AAU', '-77', '6C:31:0E:E1:0F:66'
10:55:40,'AAU', '-57', '3C:51:0E:13:FD:86'
10:55:40,'AAU', '-57', '6C:31:0E:F3:55:E6'
10:55:40,'AAU', '-58', '6C:31:0E:BA:0A:A6'
10:55:40,'AAU', '-76', '6C:31:0E:E1:0F:66'
10:55:47,'AAU', '-57', '3C:51:0E:13:FD:86'
10:55:47,'AAU', '-57', '6C:31:0E:F3:55:E6'
10:55:47,'AAU', '-59', '6C:31:0E:BA:0A:A6'
10:55:47,'AAU', '-76', '6C:31:0E:E1:0F:66'
10:55:54,'AAU', '-56', '6C:31:0E:F3:55:E6'
10:55:54,'AAU', '-58', '3C:51:0E:13:FD:86'
10:55:54,'AAU', '-59', '6C:31:0E:BA:0A:A6'
10:55:54,'AAU', '-76', '6C:31:0E:E1:0F:66'
10:56:01,'AAU', '-57', '3C:51:0E:13:FD:86'
10:56:01,'AAU', '-57', '6C:31:0E:F3:55:E6'
10:56:01,'AAU', '-59', '6C:31:0E:BA:0A:A6'
10:56:01,'AAU', '-77', '6C:31:0E:E1:0F:66'
10:56:08,'AAU', '-56', '6C:31:0E:F3:55:E6'
10:56:08,'AAU', '-58', '3C:51:0E:13:FD:86'
10:56:08,'AAU', '-59', '6C:31:0E:BA:0A:A6'
10:56:08,'AAU', '-76', '6C:31:0E:E1:0F:66'
