time,SSID,RSSI,BSSID
11:02:06,'AAU', '-58', '6C:31:0E:F3:55:E6'
11:02:06,'AAU', '-65', '3C:51:0E:13:FD:86'
11:02:06,'AAU', '-66', '6C:31:0E:BA:0A:A6'
11:02:06,'AAU', '-76', '6C:31:0E:E1:0F:66'
11:02:12,'AAU', '-59', '6C:31:0E:F3:55:E6'
11:02:12,'AAU', '-66', '6C:31:0E:BA:0A:A6'
11:02:12,'AAU', '-68', '3C:51:0E:13:FD:86'
11:02:12,'AAU', '-76', '6C:31:0E:E1:0F:66'
11:02:19,'AAU', '-60', '6C:31:0E:F3:55:E6'
11:02:19,'AAU', '-63', '3C:51:0E:13:FD:86'
11:02:19,'AAU', '-64', '6C:31:0E:BA:0A:A6'
11:02:19,'AAU', '-76', '6C:31:0E:E1:0F:66'
11:02:26,'AAU', '-62', '6C:31:0E:F3:55:E6'
11:02:26,'AAU', '-62', '3C:51:0E:13:FD:86'
11:02:26,'AAU', '-63', '6C:31:0E:BA:0A:A6'
11:02:26,'AAU', '-79', '6C:31:0E:E1:0F:66'
11:02:33,'AAU', '-60', '6C:31:0E:F3:55:E6'
11:02:33,'AAU', '-62', '3C:51:0E:13:FD:86'
11:02:33,'AAU', '-63', '6C:31:0E:BA:0A:A6'
11:02:33,'AAU', '-76', '6C:31:0E:E1:0F:66'
11:02:40,'AAU', '-60', '6C:31:0E:F3:55:E6'
11:02:40,'AAU', '-61', '3C:51:0E:13:FD:86'
11:02:40,'AAU', '-63', '6C:31:0E:BA:0A:A6'
11:02:40,'AAU', '-77', '6C:31:0E:E1:0F:66'
11:02:47,'AAU', '-59', '6C:31:0E:F3:55:E6'
11:02:47,'AAU', '-62', '3C:51:0E:13:FD:86'
11:02:47,'AAU', '-64', '6C:31:0E:BA:0A:A6'
11:02:47,'AAU', '-78', '6C:31:0E:E1:0F:66'
11:02:54,'AAU', '-59', '6C:31:0E:F3:55:E6'
11:02:54,'AAU', '-63', '6C:31:0E:BA:0A:A6'
11:02:54,'AAU', '-63', '3C:51:0E:13:FD:86'
11:02:54,'AAU', '-77', '6C:31:0E:E1:0F:66'
11:03:01,'AAU', '-59', '6C:31:0E:F3:55:E6'
11:03:01,'AAU', '-62', '6C:31:0E:BA:0A:A6'
11:03:01,'AAU', '-63', '3C:51:0E:13:FD:86'
11:03:01,'AAU', '-76', '6C:31:0E:E1:0F:66'
11:03:08,'AAU', '-59', '6C:31:0E:F3:55:E6'
11:03:08,'AAU', '-62', '6C:31:0E:BA:0A:A6'
11:03:08,'AAU', '-62', '3C:51:0E:13:FD:86'
11:03:08,'AAU', '-77', '6C:31:0E:E1:0F:66'
11:03:15,'AAU', '-60', '6C:31:0E:F3:55:E6'
11:03:15,'AAU', '-62', '6C:31:0E:BA:0A:A6'
11:03:15,'AAU', '-62', '3C:51:0E:13:FD:86'
11:03:15,'AAU', '-79', '6C:31:0E:E1:0F:66'
11:03:21,'AAU', '-58', '6C:31:0E:F3:55:E6'
11:03:21,'AAU', '-64', '6C:31:0E:BA:0A:A6'
11:03:21,'AAU', '-65', '3C:51:0E:13:FD:86'
11:03:21,'AAU', '-78', '6C:31:0E:E1:0F:66'
11:03:28,'AAU', '-59', '6C:31:0E:F3:55:E6'
11:03:28,'AAU', '-62', '3C:51:0E:13:FD:86'
11:03:28,'AAU', '-63', '6C:31:0E:BA:0A:A6'
11:03:28,'AAU', '-77', '6C:31:0E:E1:0F:66'
11:03:35,'AAU', '-58', '6C:31:0E:F3:55:E6'
11:03:35,'AAU', '-63', '3C:51:0E:13:FD:86'
11:03:35,'AAU', '-64', '6C:31:0E:BA:0A:A6'
11:03:35,'AAU', '-76', '6C:31:0E:E1:0F:66'
11:03:42,'AAU', '-58', '6C:31:0E:F3:55:E6'
11:03:42,'AAU', '-62', '3C:51:0E:13:FD:86'
11:03:42,'AAU', '-64', '6C:31:0E:BA:0A:A6'
11:03:42,'AAU', '-77', '6C:31:0E:E1:0F:66'
11:03:49,'AAU', '-58', '6C:31:0E:F3:55:E6'
11:03:49,'AAU', '-63', '3C:51:0E:13:FD:86'
11:03:49,'AAU', '-64', '6C:31:0E:BA:0A:A6'
11:03:49,'AAU', '-78', '6C:31:0E:E1:0F:66'
11:03:56,'AAU', '-59', '6C:31:0E:F3:55:E6'
11:03:56,'AAU', '-63', '3C:51:0E:13:FD:86'
11:03:56,'AAU', '-64', '6C:31:0E:BA:0A:A6'
11:03:56,'AAU', '-78', '6C:31:0E:E1:0F:66'
11:04:03,'AAU', '-58', '6C:31:0E:F3:55:E6'
