time,SSID,RSSI,BSSID
10:31:37,'AAU', '-47', '6C:31:0E:F3:55:E6'
10:31:37,'AAU', '-68', '6C:31:0E:BA:0A:A6'
10:31:37,'AAU', '-70', '3C:51:0E:13:FD:86'
10:31:37,'AAU', '-76', '6C:31:0E:E1:0F:66'
10:31:44,'AAU', '-45', '6C:31:0E:F3:55:E6'
10:31:44,'AAU', '-67', '6C:31:0E:BA:0A:A6'
10:31:44,'AAU', '-70', '3C:51:0E:13:FD:86'
10:31:44,'AAU', '-75', '6C:31:0E:E1:0F:66'
10:31:51,'AAU', '-46', '6C:31:0E:F3:55:E6'
10:31:51,'AAU', '-65', '6C:31:0E:BA:0A:A6'
10:31:51,'AAU', '-71', '3C:51:0E:13:FD:86'
10:31:51,'AAU', '-77', '6C:31:0E:E1:0F:66'
10:31:58,'AAU', '-48', '6C:31:0E:F3:55:E6'
10:31:58,'AAU', '-68', '6C:31:0E:BA:0A:A6'
10:31:58,'AAU', '-70', '3C:51:0E:13:FD:86'
10:31:58,'AAU', '-74', '6C:31:0E:E1:0F:66'
10:32:05,'AAU', '-48', '6C:31:0E:F3:55:E6'
10:32:05,'AAU', '-68', '6C:31:0E:BA:0A:A6'
10:32:05,'AAU', '-69', '3C:51:0E:13:FD:86'
10:32:05,'AAU', '-74', '6C:31:0E:E1:0F:66'
10:32:05,'AAU', '-83', '3C:51:0E:2E:05:E6'
10:32:12,'AAU', '-47', '6C:31:0E:F3:55:E6'
10:32:12,'AAU', '-68', '6C:31:0E:BA:0A:A6'
10:32:12,'AAU', '-72', '3C:51:0E:13:FD:86'
10:32:12,'AAU', '-74', '6C:31:0E:E1:0F:66'
10:32:18,'AAU', '-48', '6C:31:0E:F3:55:E6'
10:32:18,'AAU', '-68', '6C:31:0E:BA:0A:A6'
10:32:18,'AAU', '-71', '3C:51:0E:13:FD:86'
10:32:18,'AAU', '-74', '6C:31:0E:E1:0F:66'
10:32:25,'AAU', '-47', '6C:31:0E:F3:55:E6'
10:32:25,'AAU', '-67', '6C:31:0E:BA:0A:A6'
10:32:25,'AAU', '-70', '3C:51:0E:13:FD:86'
10:32:25,'AAU', '-75', '6C:31:0E:E1:0F:66'
10:32:25,'AAU', '-83', '3C:51:0E:2E:05:E6'
10:32:32,'AAU', '-48', '6C:31:0E:F3:55:E6'
10:32:32,'AAU', '-67', '6C:31:0E:BA:0A:A6'
10:32:32,'AAU', '-70', '3C:51:0E:13:FD:86'
10:32:32,'AAU', '-75', '6C:31:0E:E1:0F:66'
10:32:39,'AAU', '-48', '6C:31:0E:F3:55:E6'
10:32:39,'AAU', '-67', '6C:31:0E:BA:0A:A6'
10:32:39,'AAU', '-70', '3C:51:0E:13:FD:86'
10:32:39,'AAU', '-74', '6C:31:0E:E1:0F:66'
10:32:46,'AAU', '-48', '6C:31:0E:F3:55:E6'
10:32:46,'AAU', '-67', '6C:31:0E:BA:0A:A6'
10:32:46,'AAU', '-69', '3C:51:0E:13:FD:86'
10:32:46,'AAU', '-74', '6C:31:0E:E1:0F:66'
10:32:53,'AAU', '-48', '6C:31:0E:F3:55:E6'
