time,SSID,RSSI,BSSID
10:45:17,'AAU', '-57', '6C:31:0E:F3:55:E6'
10:45:17,'AAU', '-70', '6C:31:0E:BA:0A:A6'
10:45:17,'AAU', '-77', '3C:51:0E:13:FD:86'
10:45:17,'AAU', '-80', '3C:51:0E:2E:05:E6'
10:45:24,'AAU', '-56', '6C:31:0E:F3:55:E6'
10:45:24,'AAU', '-69', '6C:31:0E:BA:0A:A6'
10:45:24,'AAU', '-78', '3C:51:0E:13:FD:86'
10:45:24,'AAU', '-81', '3C:51:0E:2E:05:E6'
10:45:30,'AAU', '-58', '6C:31:0E:F3:55:E6'
10:45:30,'AAU', '-70', '6C:31:0E:BA:0A:A6'
10:45:30,'AAU', '-79', '3C:51:0E:13:FD:86'
10:45:30,'AAU', '-81', '3C:51:0E:2E:05:E6'
10:45:37,'AAU', '-56', '6C:31:0E:F3:55:E6'
10:45:37,'AAU', '-67', '6C:31:0E:BA:0A:A6'
10:45:37,'AAU', '-77', '3C:51:0E:13:FD:86'
10:45:44,'AAU', '-57', '6C:31:0E:F3:55:E6'
10:45:44,'AAU', '-67', '6C:31:0E:BA:0A:A6'
10:45:44,'AAU', '-78', '3C:51:0E:13:FD:86'
10:45:44,'AAU', '-81', '3C:51:0E:2E:05:E6'
10:45:51,'AAU', '-55', '6C:31:0E:F3:55:E6'
10:45:51,'AAU', '-68', '6C:31:0E:BA:0A:A6'
10:45:51,'AAU', '-76', '3C:51:0E:13:FD:86'
10:45:51,'AAU', '-80', '3C:51:0E:2E:05:E6'
10:45:59,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:45:59,'AAU', '-68', '6C:31:0E:BA:0A:A6'
10:45:59,'AAU', '-76', '3C:51:0E:13:FD:86'
10:46:06,'AAU', '-55', '6C:31:0E:F3:55:E6'
10:46:06,'AAU', '-67', '6C:31:0E:BA:0A:A6'
10:46:06,'AAU', '-76', '3C:51:0E:13:FD:86'
10:46:06,'AAU', '-80', '3C:51:0E:2E:05:E6'
10:46:13,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:46:13,'AAU', '-68', '6C:31:0E:BA:0A:A6'
10:46:13,'AAU', '-76', '3C:51:0E:13:FD:86'
10:46:13,'AAU', '-78', '3C:51:0E:2E:05:E6'
10:46:20,'AAU', '-55', '6C:31:0E:F3:55:E6'
10:46:20,'AAU', '-67', '6C:31:0E:BA:0A:A6'
10:46:20,'AAU', '-77', '3C:51:0E:13:FD:86'
10:46:20,'AAU', '-80', '3C:51:0E:2E:05:E6'
10:46:27,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:46:27,'AAU', '-68', '6C:31:0E:BA:0A:A6'
10:46:27,'AAU', '-76', '3C:51:0E:13:FD:86'
10:46:27,'AAU', '-78', '3C:51:0E:2E:05:E6'
10:46:34,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:46:34,'AAU', '-67', '6C:31:0E:BA:0A:A6'
10:46:34,'AAU', '-76', '3C:51:0E:13:FD:86'
10:46:34,'AAU', '-79', '3C:51:0E:2E:05:E6'
10:46:41,'AAU', '-55', '6C:31:0E:F3:55:E6'
10:46:41,'AAU', '-68', '6C:31:0E:BA:0A:A6'
10:46:41,'AAU', '-76', '3C:51:0E:13:FD:86'
10:46:48,'AAU', '-55', '6C:31:0E:F3:55:E6'
10:46:48,'AAU', '-67', '6C:31:0E:BA:0A:A6'
10:46:48,'AAU', '-76', '3C:51:0E:2E:05:E6'
10:46:48,'AAU', '-77', '3C:51:0E:13:FD:86'
10:46:55,'AAU', '-55', '6C:31:0E:F3:55:E6'
10:46:55,'AAU', '-68', '6C:31:0E:BA:0A:A6'
10:46:55,'AAU', '-77', '3C:51:0E:13:FD:86'
10:46:55,'AAU', '-78', '3C:51:0E:2E:05:E6'
10:47:02,'AAU', '-55', '6C:31:0E:F3:55:E6'
10:47:02,'AAU', '-68', '6C:31:0E:BA:0A:A6'
10:47:02,'AAU', '-77', '3C:51:0E:13:FD:86'
10:47:02,'AAU', '-78', '3C:51:0E:2E:05:E6'
10:47:09,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:47:09,'AAU', '-68', '6C:31:0E:BA:0A:A6'
10:47:09,'AAU', '-77', '3C:51:0E:13:FD:86'
10:47:09,'AAU', '-78', '3C:51:0E:2E:05:E6'
10:47:16,'AAU', '-55', '6C:31:0E:F3:55:E6'
10:47:16,'AAU', '-68', '6C:31:0E:BA:0A:A6'
10:47:16,'AAU', '-78', '3C:51:0E:13:FD:86'
10:47:16,'AAU', '-79', '3C:51:0E:2E:05:E6'
10:47:23,'AAU', '-54', '6C:31:0E:F3:55:E6'
10:47:23,'AAU', '-68', '6C:31:0E:BA:0A:A6'
10:47:23,'AAU', '-77', '3C:51:0E:13:FD:86'
10:47:23,'AAU', '-79', '3C:51:0E:2E:05:E6'
10:47:30,'AAU', '-55', '6C:31:0E:F3:55:E6'
10:47:30,'AAU', '-68', '6C:31:0E:BA:0A:A6'
10:47:30,'AAU', '-76', '3C:51:0E:13:FD:86'
10:47:30,'AAU', '-78', '3C:51:0E:2E:05:E6'
10:47:37,'AAU', '-55', '6C:31:0E:F3:55:E6'
10:47:37,'AAU', '-67', '6C:31:0E:BA:0A:A6'
