BSSID,RSSI
3C:51:0E:09:51:26,-82.6
3C:51:0E:13:FD:86,-72.29729729729729
3C:51:0E:2E:05:E6,-81.20689655172414
6C:31:0E:BA:0A:A6,-64.8108108108108
6C:31:0E:E1:0F:66,-82.125
6C:31:0E:F3:55:E6,-52.945945945945944
